C”DIGO;GRUPO/FAMILIA (Abrev.);Nome do produto;Bitola;Unidade;PreÁo Unit·rio;Cobre_kg;Aluminio_kg;PVC_kg;Skin_kg;Embalagem_kg;Peso_Total_kg;ObservaÁ„o;PVC_HEPR;Capa_PP_kg;PVC_Atox_kg;PVC_Emb_kg;Etiqueta_un
K121;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†VERMELHO†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K122;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†AZUL†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K123;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†VERDE†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K126;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†AMARELO†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K127;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†BRANCO†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K128;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 16,0MM ATOX†AMARELO†1KV†90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K136;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†VERDE†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K137;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 25,0MM ATOX†VERDE†1KV†90∫;25;M;20,01096154;17,7;0.0;5,54;0.0;0,0133;25,47;;0.0;0.0;0.0;0.0;0.0
K138;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 50,0MM ATOX†PRETO†1KV†90∫;50;M;37,31858974;33,5;0.0;8;0.0;0,0133;44,6;;0.0;0.0;0.0;0.0;0.0
K139;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 50,0MM ATOX†AZUL†1KV†90∫;50;M;37,31858974;33,5;0.0;8;0.0;0,0133;44,6;;0.0;0.0;0.0;0.0;0.0
K140;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 50,0MM ATOX†VERDE†1KV†90∫;50;M;37,31858974;33,5;0.0;8;0.0;0,0133;44,6;;0.0;0.0;0.0;0.0;0.0
K141;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 70,0MM ATOX†VERDE†1KV†90∫;70;M;53,14487179;47,4;0.0;13;0.0;0,0133;65,4;;0.0;0.0;0.0;0.0;0.0
K147;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 150,0MM ATOX†AZUL 1KV†90∫;150;M;120,8410256;107,5;0.0;29;0.0;0,0133;149,5;;0.0;0.0;0.0;0.0;0.0
K148;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 150,0MM ATOX†PRETO 1KV†90∫;150;M;120,8410256;107,5;0.0;29;0.0;0,0133;149,5;;0.0;0.0;0.0;0.0;0.0
K149;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 185,0MM ATOX†PRETO 1KV†90∫;185;M;144,5397436;130;0.0;27;0.0;0,0133;170;;0.0;0.0;0.0;0.0;0.0
K150;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 185,0MM ATOX†AZUL 1KV†90∫;185;M;144,5397436;130;0.0;27;0.0;0,0133;170;;0.0;0.0;0.0;0.0;0.0
K152;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 16,0MM ATOX†PRETO†1KV†90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K153;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 25,0MM ATOX†PRETO†1KV†90∫;25;M;20,01096154;17,7;0.0;5,54;0.0;0,0133;25,47;;0.0;0.0;0.0;0.0;0.0
K106;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 35,0MM ATOX†PRETO†1KV†90∫;35;M;26,99660256;24,22;0.0;5,6;0.0;0,0133;32,23;;0.0;0.0;0.0;0.0;0.0
K120;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†PRETO†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K129;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 16,0MM ATOX†VERDE†1KV†90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K130;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 16,0MM ATOX†BRANCO†1KV†90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K131;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 16,0MM ATOX†AZUL†1KV†90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K134;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†PRETO†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K135;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 10,0MM ATOX†AZUL†1KV†90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K142;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 95,0MM ATOX†VERDE†1KV†90∫;95;M;74,31025641;66,2;0.0;17;0.0;0,0133;91,2;;0.0;0.0;0.0;0.0;0.0
K143;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 95,0MM ATOX†PRETO 1KV†90∫;95;M;74,31025641;66,2;0.0;17;0.0;0,0133;91,2;;0.0;0.0;0.0;0.0;0.0
K144;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 95,0MM ATOX†AZUL 1KV†90∫;95;M;74,31025641;66,2;0.0;17;0.0;0,0133;91,2;;0.0;0.0;0.0;0.0;0.0
K145;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 120,0MM ATOX†PRETO 1KV†90∫;120;M;94,13910256;86;0.0;10,5;0.0;0,0133;102,5;;0.0;0.0;0.0;0.0;0.0
K146;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 120,0MM ATOX†AZUL 1KV†90∫;120;M;94,13910256;86;0.0;10,5;0.0;0,0133;102,5;;0.0;0.0;0.0;0.0;0.0
K154;CABO ELETRICO LINHA1 (MAXFIO);CABO ELETRICO FLEX HEPR 70,0MM ATOX†PRETO†1KV†90∫;70;M;53,14487179;47,4;0.0;13;0.0;0,0133;65,4;;0.0;0.0;0.0;0.0;0.0
K005;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 16,0MM VERMELHO 1KV 90∫;16;M;13,38269231;11,9;0.0;3,1;0.0;0,0133;16,52;;0.0;0.0;0.0;0.0;0.0
K001;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 10,0MM PRETO 1KV 90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K002;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 10,0MM VERMELHO 1KV 90∫;10;M;8,806602564;7,8;0.0;2,27;0.0;0,0133;11,09;;0.0;0.0;0.0;0.0;0.0
K008;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 25,0MM VERMELHO 1KV 90∫;25;M;20,01096154;17,7;0.0;5,54;0.0;0,0133;25,47;;0.0;0.0;0.0;0.0;0.0
K009;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 25,0MM AZUL 1KV 90∫;25;M;20,01096154;17,7;0.0;5,54;0.0;0,0133;25,47;;0.0;0.0;0.0;0.0;0.0
K010;CABO HEPR 1KV 90¬∫ - MAXFIO;CABO ELETRICO FLEX HEPR 35,0MM PRETO 1KV 90∫;35;M;26,99660256;24,22;0.0;5,6;0.0;0,0133;32,23;;0.0;0.0;0.0;0.0;0.0
